,Date,Open,High,Low,Close,Volume,Trend,TrendString
186,2021-01-06,758.48999,774.0,749.099976,755.97998,44700000,-1,Negative
187,2021-01-07,777.630005,816.98999,775.200012,816.039978,51498900,1,Positive
188,2021-01-08,856.0,884.48999,838.3900150000001,880.0200199999999,75055500,1,Positive
189,2021-01-11,849.400024,854.429993,803.619995,811.1900019999999,59301600,-1,Negative
190,2021-01-12,831.0,868.0,827.340027,849.4400019999999,46270700,1,Positive
191,2021-01-13,852.76001,860.4699710000001,832.0,854.409973,33312500,1,Positive
192,2021-01-14,843.3900150000001,863.0,838.75,845.0,31266300,1,Positive
193,2021-01-15,852.0,859.900024,819.099976,826.159973,38777600,-1,Negative
194,2021-01-19,837.799988,850.0,833.0,844.5499880000001,25367000,1,Positive
195,2021-01-20,858.73999,859.5,837.280029,850.4500119999999,25665900,-1,Negative
196,2021-01-21,855.0,855.7199710000001,841.419983,844.98999,20521100,-1,Negative
197,2021-01-22,834.3099980000001,848.0,828.619995,846.6400150000001,20066500,1,Positive
198,2021-01-25,855.0,900.400024,838.820007,880.7999880000001,41173400,1,Positive
199,2021-01-26,891.3800050000001,895.900024,871.599976,883.090027,23131600,-1,Negative
200,2021-01-27,870.349976,891.5,858.659973,864.159973,27334000,-1,Negative
201,2021-01-28,820.0,848.0,801.0,835.429993,26378000,1,Positive
202,2021-01-29,830.0,842.409973,780.099976,793.530029,34990800,-1,Negative
203,2021-02-01,814.289978,842.0,795.5599980000001,839.8099980000001,25391400,1,Positive
204,2021-02-02,844.679993,880.5,842.2000119999999,872.7899779999999,24346200,1,Positive
205,2021-02-03,877.0200199999999,878.080017,853.0599980000001,854.6900019999999,18343500,-1,Negative
206,2021-02-04,855.0,856.5,833.419983,849.98999,15812700,-1,Negative
207,2021-02-05,845.0,864.7700199999999,838.9699710000001,852.2299800000001,18566600,1,Positive
208,2021-02-08,869.669983,877.7700199999999,854.75,863.419983,20161700,-1,Negative
209,2021-02-09,855.1199949999999,859.7999880000001,841.75,849.4600220000001,15157700,-1,Negative
210,2021-02-10,843.6400150000001,844.820007,800.02002,804.820007,36216100,-1,Negative
211,2021-02-11,812.4400019999999,829.880005,801.72998,811.659973,21622800,-1,Negative
212,2021-02-12,801.26001,817.330017,785.330017,816.119995,23768300,1,Positive
213,2021-02-16,818.0,821.0,792.4400019999999,796.219971,19802300,-1,Negative
214,2021-02-17,779.090027,799.840027,762.01001,798.150024,25996500,1,Positive
215,2021-02-18,780.900024,794.6900019999999,776.27002,787.380005,17957100,1,Positive
216,2021-02-19,795.0,796.789978,777.369995,781.299988,18958300,-1,Negative
217,2021-02-22,762.6400150000001,768.5,710.200012,714.5,37269700,-1,Negative
218,2021-02-23,662.130005,713.6099849999999,619.0,698.840027,66606900,1,Positive
219,2021-02-24,711.849976,745.0,694.169983,742.02002,36767000,1,Positive
220,2021-02-25,726.150024,737.210022,670.580017,682.219971,39023900,-1,Negative
221,2021-02-26,700.0,706.700012,659.51001,675.5,41089200,-1,Negative
222,2021-03-01,690.1099849999999,719.0,685.049988,718.429993,27136200,1,Positive
223,2021-03-02,718.280029,721.1099849999999,685.0,686.4400019999999,23732200,-1,Negative
224,2021-03-03,687.98999,700.700012,651.710022,653.200012,30208000,-1,Negative
225,2021-03-04,655.799988,668.450012,600.0,621.4400019999999,65919500,-1,Negative
226,2021-03-05,626.0599980000001,627.840027,539.48999,597.950012,89396500,-1,Negative
227,2021-03-08,600.549988,620.130005,558.789978,563.0,51787000,-1,Negative
228,2021-03-09,608.179993,678.090027,595.210022,673.580017,67523300,1,Positive
229,2021-03-10,700.299988,717.849976,655.0599980000001,668.0599980000001,60605700,-1,Negative
230,2021-03-11,699.400024,702.5,677.179993,699.599976,36253900,1,Positive
231,2021-03-12,670.0,694.880005,666.1400150000001,693.72998,33583800,1,Positive
232,2021-03-15,694.090027,713.179993,684.039978,707.9400019999999,29335600,1,Positive
233,2021-03-16,703.349976,707.919983,671.0,676.880005,31903400,-1,Negative
234,2021-03-17,656.869995,703.72998,651.01001,701.8099980000001,40083300,1,Positive
235,2021-03-18,684.289978,689.22998,652.0,653.159973,33224800,-1,Negative
236,2021-03-19,646.599976,657.22998,624.619995,654.869995,42827400,1,Positive
237,2021-03-22,684.590027,699.619995,668.75,670.0,39512200,-1,Negative
238,2021-03-23,675.77002,677.799988,657.51001,662.159973,30491900,-1,Negative
239,2021-03-24,667.909973,668.02002,630.1099849999999,630.27002,33795200,-1,Negative
240,2021-03-25,613.0,645.5,609.5,640.3900150000001,39224900,1,Positive
241,2021-03-26,641.869995,643.820007,599.8900150000001,618.710022,33778400,-1,Negative
242,2021-03-29,615.6400150000001,616.47998,596.02002,611.289978,28637000,-1,Negative
243,2021-03-30,601.75,637.659973,591.01001,635.619995,39432400,1,Positive
244,2021-03-31,646.619995,672.0,641.1099849999999,667.929993,33337300,1,Positive
245,2021-04-01,688.369995,692.419983,659.419983,661.75,35298400,-1,Negative
246,2021-04-05,707.710022,708.159973,684.700012,691.049988,41842800,-1,Negative
247,2021-04-06,690.299988,696.549988,681.369995,691.619995,28271800,1,Positive
248,2021-04-07,687.0,691.380005,667.840027,670.969971,26309400,-1,Negative
249,2021-04-08,677.380005,689.549988,671.650024,683.799988,23924300,1,Positive
250,2021-04-09,677.77002,680.969971,669.429993,677.02002,21402600,-1,Negative
